,Crime ID,Month,LSOA code,Crime type,Ward
1832,4ad62d96cf0cb528ffaebb3c434b87978ac6b1378f797b9e4f1558d73bbfd425,2012-12,E01000248,Burglary,High Barnet
1847,aeefa3228262b6fe3ad7421ed39a4ada58ea2168387bf0d547133adaa3a0725f,2012-12,E01000250,Burglary,High Barnet
1848,0d7d761affdf5bd2fd211226c79c0d182275dad10b914b21c06417b25cbcc2d9,2012-12,E01000250,Burglary,High Barnet
1849,0422330dc3b1b7b3a6068853553937f0e45a0a48e4e734e0cbfdc6c9c49d66cf,2012-12,E01000250,Burglary,High Barnet
1850,6a7f592464d8693d975dbd5e78b859f439b61c1e90d737142de5c3bd210202d5,2012-12,E01000250,Burglary,High Barnet
1886,445a1a39e50d26093f0719eae294c6689ae18b3b8b06c15821bf56b5cf2ae7c0,2012-12,E01000292,Burglary,Underhill
1917,a333bfdc7fbd4ca10db6f6563127d8b654afc0405e05ce7f78d36e19182a8b1a,2012-12,E01000167,Burglary,East Barnet
1923,bcf6f8958688ed547b93fd48e61881948b1a95178cfa6538cf711cf5b63c9a72,2012-12,E01000246,Burglary,High Barnet
1931,f6f329eb49db96898617f852f0d3f1432729f24c1634264a21ee2ca5b0112040,2012-12,E01000247,Burglary,High Barnet
1932,c463aaa5eebc1a070e336cd190b6475c66c03825bb3cb2b6247f7dc1027da034,2012-12,E01000247,Burglary,High Barnet
1938,e08909ee1b9e4dbb7c47ef561af15df62810237fd1f283f725c1482a2d66d270,2012-12,E01000251,Burglary,High Barnet
1939,2ecddcec3b5415229fc9480005aca50c3a1a0bfcdc4c6a116ab9fcf2e51687ff,2012-12,E01000251,Burglary,High Barnet
1940,795a0ff495a57193aaca6d597c7c92eed9d9fd3a9c2f070290c72352ee8e1711,2012-12,E01000251,Burglary,High Barnet
1941,e8323573bc48ba1e25791bfba5ea358f94041ab17611b55e27e8a956843fd08b,2012-12,E01000251,Burglary,High Barnet
1942,4e0f76fa3bfc30cb793bee3f3e875aaa2237092f139886f81d41d6e3b59786dc,2012-12,E01000251,Burglary,High Barnet
1943,2148928cfda6e941ff95394389e5e0c425d59271439075bb39a795e130829455,2012-12,E01000251,Burglary,High Barnet
1944,e7f690dc74b3957b2637fa57932715450287757cdece69a702c6e1fb18d39934,2012-12,E01000251,Burglary,High Barnet
1945,ed806116a540c9c1f28b6b168dfd83adf3d6095c1d106bc90d19e9e03de08f3e,2012-12,E01000251,Burglary,High Barnet
1946,3fd30946b55695ef812ca1f7699ef38cd2f81e10c815ff2cdb8a77feecd65409,2012-12,E01000251,Burglary,High Barnet
1964,9ce7695af809b75259a9ed05b4c44bdce88e273691347eb35e0a84d87bc894d1,2012-12,E01000252,Burglary,High Barnet
1965,11c7f723b7699a1ec09065f992f4f0f80f3e29657482a66d856389e6df7445cf,2012-12,E01000252,Burglary,High Barnet
1966,4a4cd5aaa9143d1e5372050c05d2438b87a9763cb3990746fd71755a91a627d3,2012-12,E01000252,Burglary,High Barnet
1967,2431572fcbfb03f94588b1355497ae2cb06c22b08f1cb069f6e43c19614bbc93,2012-12,E01000252,Burglary,High Barnet
1968,fc21879e99dcf586343341cc228cdf23f7f1cb6f72c7e90f3c4376ecf75f36a2,2012-12,E01000252,Burglary,High Barnet
1969,f5a94a0e0c31cfd6649aa2efdac4ee717a1db87e102268dffa479bb9683472fb,2012-12,E01000252,Burglary,High Barnet
1971,5463049bf56384b695198860ca1b151dbbe2786eee4d30f1c98f71c05ada5fe8,2012-12,E01000166,Burglary,East Barnet
1972,b6966378c010cad7eb7a612f8ddf3d48ab671322d7b7acaa7c07043b2e983c0f,2012-12,E01000166,Burglary,East Barnet
1977,6c11b0d5c2f343e26e452ccc5f1f99282c05d8d02aa1af1c7c5bdea01f5ccf48,2012-12,E01000168,Burglary,East Barnet
1978,f731e0ef975c15ac3fa7fe968ecb528cd27c00f2d6c2ac68f7b78974010afe3b,2012-12,E01000168,Burglary,East Barnet
1982,95ebeb3a5dfc5f202bcdf7fa9d648619809387789dbeb73e2d77e49df50f75c1,2012-12,E01000169,Burglary,East Barnet
1983,b377356028cf321ec15de95e2fb195d6acc91ee9c830fbe58959b31bf173bebe,2012-12,E01000169,Burglary,East Barnet
1984,56a8daeef63cc9e074ca03061b9dcd1ed3e79a508f482a54fc9273d3baa79294,2012-12,E01000169,Burglary,East Barnet
1985,d056a2692bc28ac362225c0bd54f9de2def88d3d289fae8e8eb8565a03a7d511,2012-12,E01000169,Burglary,East Barnet
1989,1d1fa3a5502b26fe6cefbf632be1b1abc9438e406a58efccab07c57480ca7e9d,2012-12,E01000172,Burglary,East Barnet
1990,a0fbcf0d54c3982f2489a82acf813814c635d51d77506672fdfc2cafff34a1dd,2012-12,E01000172,Burglary,East Barnet
1991,0b3ad3ebd08ac75ad79b31736b2f86cf69943cd9bd79ec2f544cce8e92e7fe1e,2012-12,E01000172,Burglary,East Barnet
1999,d164767820c841bb246e9515148125bc582a5e3e74554948eed247041be3db92,2012-12,E01000285,Burglary,Underhill
2000,2b415b62ff45f31a040fcdceb63dced3aad783309a27f9925e0f9768342d7a74,2012-12,E01000285,Burglary,Underhill
2018,7bfb05c5061091f63872a33864851be181ceeb7f3dac18b00a887a1508b00ffa,2012-12,E01000289,Burglary,Underhill
2019,dee860247c9ca730ba98e0b6c8ee59a8d1b716c246168b5577c627a39a3cd22e,2012-12,E01000289,Burglary,Underhill
2020,6972bce338f844334633c23890eb194ac5da27ecdf74c16714cd30490479c86d,2012-12,E01000289,Burglary,Underhill
2045,992b26f57d265cb9fbe1b80bf498ea7b43e69238cf7cace1a15caea4a0f73e3a,2012-12,E01000291,Burglary,Underhill
2046,40a78be2f862d45e731095989163e8ecec0c6b930191a13da478f0b70f16557b,2012-12,E01000291,Burglary,Underhill
2060,eb0efaa69481ba3f5f51d99035009f5fe0925bace6761c93e86a9390e7ada35d,2012-12,E01000267,Burglary,Oakleigh
2061,79667f9f10ea70ef403a93e233e676bcb0288ab4518d6b6104cb7f34e613cc89,2012-12,E01000267,Burglary,Oakleigh
2062,d1bed02a349fbd8a718ad8842554ceb7d37b1f226a1026769f8e4c6c5f125fd3,2012-12,E01000267,Burglary,Oakleigh
2076,3fcfc682ce9bf57649c59237d01ef0873f6b9e722dff020328075177719b277d,2012-12,E01000268,Burglary,Oakleigh
2077,92256052bb5ecd354368bfdb5113029cb85020493d62fb39f2d47e2932b59a1e,2012-12,E01000268,Burglary,Oakleigh
2078,aa508eb7383c4b6da929d0c4ef60374114ecd623f174e5a95314d9ad909ec572,2012-12,E01000268,Burglary,Oakleigh
2079,ae977521ece3ee1ffeef0ebc7d0f214f971455656b5191dcf73bd492d3c3ab00,2012-12,E01000268,Burglary,Oakleigh
2080,0403cf4c543aa86147f28efe6dc562427d14217463662f0888c9646494e26302,2012-12,E01000268,Burglary,Oakleigh
2081,c0256bf095230f8caae0990d2b291cf78f4bfe01631c176fc7d033165a7af1e9,2012-12,E01000268,Burglary,Oakleigh
2098,0f9eaf7fabf861993b186ba747645ca02a7927318f62e670fea2e07635bfaad0,2012-12,E01000269,Burglary,Oakleigh
2099,aa57a083200f0caa0b543010cdef203c6fc19662c455465188aec10f33245e03,2012-12,E01000269,Burglary,Oakleigh
2107,2b00c406d475deb644ebba4d64d22f37ad6a97d525c8e273760851d2d9127076,2012-12,E01000270,Burglary,Oakleigh
2108,1d5e8f7c0b86c683f43d70593a8f810e9ecc6232411e36ca2ed2c8007bec23ee,2012-12,E01000270,Burglary,Oakleigh
2109,8ea7f167e5d9133581e100c1860651d35d03a4d6914a14f6340d5c61d455f5f9,2012-12,E01000270,Burglary,Oakleigh
2116,0c97dd761646cd1360b89778161978f917a0ca6729e48024021fffd14c18a147,2012-12,E01000170,Burglary,East Barnet
2117,cdc04b970136407e7710c05597f70c59dfbc510aaffec7ca1ef7f840bb386ace,2012-12,E01000170,Burglary,East Barnet
2118,23d2322cc87fefe7cfe21fba9c276c3e7195ac73564e9beb7c30504f5c5f08a7,2012-12,E01000170,Burglary,East Barnet
2119,69235fcbaf648a490909da3a963e9cbdb75d4e3038b9da2758b54365d2966e9a,2012-12,E01000170,Burglary,East Barnet
2120,088bbfa7ecd42b569f11db4b762433dd43454695b8da51a5a2a889577e44aa81,2012-12,E01000170,Burglary,East Barnet
2132,3ffaafc3b68e77245299f490f566571e1493793c77d770f3318433b6324aac4b,2012-12,E01000171,Burglary,East Barnet
2133,c7ea94d4909e9fd4a64d6f948733b4b5a9e7dd54741fe0e2f48c5cf5e2d9c699,2012-12,E01000171,Burglary,East Barnet
2134,5604efbcf1bccd7f14dd83854af548f0f9084af2f2f2cfaee6412be2863613c9,2012-12,E01000171,Burglary,East Barnet
2135,836f44aeff5eec9dd91083efcc170fd85e3fbd70f440c699e16a74e5b0a5a1e1,2012-12,E01000171,Burglary,East Barnet
2136,ecf775bbfc83cc507ce78f961e08337010619ab506dc5b3dfe4d4ff37f18f51f,2012-12,E01000171,Burglary,East Barnet
2157,d7fdeb210559acf68708d061259de872d3d1e162e83836cefb81e611892c843b,2012-12,E01000173,Burglary,East Barnet
2158,495400a7e32fa11880f337f08f0b1045ff8004fa1cdad4b6f4c66f3d305ce128,2012-12,E01000174,Burglary,East Barnet
2170,537463032ae5fa415e123d1daadc7e8818f866e897824c4e356825ae153c8110,2012-12,E01000175,Burglary,East Barnet
2203,917e04eac3f0ee79385b68964b2028ee90df0e3384e0704280a0b2ac058bd726,2012-12,E01000280,Burglary,Totteridge
2204,549d5e8362f779733415aaef5a4b2e63f95ae448bec82f9936f9fbe7f64089db,2012-12,E01000280,Burglary,Totteridge
2207,b359e9765e8a33a8963ac524ac90b89e8078f22fc35693744df2ed42dade758a,2012-12,E01000286,Burglary,Underhill
2219,d346b4c2d2a41ee9c518f20d877344024274d2e20573a380da4f87f31460a081,2012-12,E01000290,Burglary,Underhill
2229,ecada6eca65d9ecfc029aeb836302195f84d101327b3f2c891675a3ac5748200,2012-12,E01000271,Burglary,Oakleigh
2230,11ace658de84e40e4f11757921dae96814d9056fccf37958e4c66ff6baa3dd82,2012-12,E01000271,Burglary,Oakleigh
2231,f7f305eb566e6cfdbc3d2452ad50fd5efb459aa1b591fb46825fa62956b2af11,2012-12,E01000271,Burglary,Oakleigh
2238,de458abafd48520b44064abc8166f4cf37a150454a3357749cac3264f58581c9,2012-12,E01000273,Burglary,Oakleigh
2239,98162a30cf9c63aed19baecf403d3624cb3861472c13f258e413c88d35525048,2012-12,E01000273,Burglary,Oakleigh
2240,e0dfe33e52b37770d252a2b86d8a747ca5171523e4a6b5fd93bfc84e504d6d25,2012-12,E01000273,Burglary,Oakleigh
2263,a6b3fb3d821687d97088cb0054994592d6f668d310f24f8893259d556552dfdb,2012-12,E01000282,Burglary,Totteridge
2264,de9f59c51342a515d0afd4fb2907bf95b9f181e19bfc9bb81f3a0bdb5bf200e4,2012-12,E01000282,Burglary,Totteridge
2269,40032aa9258cb9044aebcf09c85d68beb6a5b65970f4ac89725cc800d8b381ab,2012-12,E01000115,Burglary,Brunswick Park
2270,bfa699b20973eabfea785a2006797941f1c7c1428070978852a82ade069f7c26,2012-12,E01000115,Burglary,Brunswick Park
2271,e82eadf4963dfb5c9402317f30c14e8761f30753197ba909bd15d5f9c8bf30e8,2012-12,E01000115,Burglary,Brunswick Park
2274,f267945e265749e7374526b177237d8bfff856ea9ac9a71f9d8410b6ad178dea,2012-12,E01000116,Burglary,Brunswick Park
2275,e69097d142f8168c3a25ac2d1b9b06e8bfec54dc0dc63cb7b5ef8b4c117f2b9a,2012-12,E01000116,Burglary,Brunswick Park
2285,d6bf1e6e2103eb27d06217f1ff47ef2e327c30a8c7ffa50aa6fe955b2059b4c9,2012-12,E01000119,Burglary,Brunswick Park
2294,256519a15bbb642a7c38261ea7352988256e12931360844a8bdcfe47d237a767,2012-12,E01000120,Burglary,Brunswick Park
2302,345fb64163d12471015b5086463ad1692adc9c82b14c00e92b6dfab26116d4c2,2012-12,E01000122,Burglary,Brunswick Park
2303,8011950a8196a0b4ffb7d77bc563cfe0ec23fc0d47cd9ef3812c64e27691abb0,2012-12,E01000122,Burglary,Brunswick Park
2304,1474a26063e178cf0e4b0a1a319798acd7233dcb19b3cf0bed777b71e5d3bd99,2012-12,E01000122,Burglary,Brunswick Park
2305,85108e8eb9edb708a3b1b46795af6c48bed8fbeee6c212d4b3c4d2e1b1d4eb56,2012-12,E01000122,Burglary,Brunswick Park
2315,782ea3f111fb424afef4318714523c7bbed7209f5c88384e24bd870b979ba410,2012-12,E01000117,Burglary,Brunswick Park
2320,7afbc9d6aa4a328e4d53657f3977b1d6128642607bd85513cf4e9b23d04c7957,2012-12,E01000118,Burglary,Brunswick Park
