Ward,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Brunswick Park,16,28,22,16,20,10,10,8,13,8,24,32,30,15,20,17,13,10,12,11,14,21,19,23,18,19,20,13,8,4,6,6,8,16,15,22,10,9,14,18,9,13,10,13,12,10,11,12,5,13,12,6,9,10,7,12,13,6,14,20,15,14,8,14,10,13,14,13,5,10,17,14,6,17,17,13,7,9,7,4,7,8,7,8,18,13,10,8,4,4,3,6,9,5,12,8,6,11,2,8,8,3,8,4,3,3,12,9,6,9,9,10,3,7,4,3,6,9,9,4,5,7,14,13
Burnt Oak,11,13,7,23,13,12,9,22,16,21,8,13,21,19,14,24,21,11,6,8,11,15,9,12,9,11,9,13,16,19,16,8,13,23,15,13,15,19,19,13,10,6,8,8,14,10,13,28,21,14,9,21,18,10,10,14,18,10,12,14,9,8,11,9,15,11,10,6,5,9,14,13,13,22,23,15,13,9,6,12,9,15,15,17,25,14,15,11,5,3,10,8,7,11,10,13,11,7,7,13,17,14,9,7,9,11,12,8,9,9,18,9,2,14,17,6,9,7,6,14,12,11,4,10
Childs Hill,25,33,17,30,26,20,26,22,21,22,16,31,24,18,26,32,23,20,23,29,24,32,24,28,21,33,34,26,32,33,24,23,15,16,21,35,32,22,30,18,16,24,18,14,32,15,13,30,19,23,18,35,14,21,10,18,30,33,29,22,24,22,25,29,29,19,25,24,30,24,33,40,24,19,39,32,25,29,21,27,18,25,13,19,19,22,21,16,17,12,16,25,21,12,19,10,14,18,11,21,12,11,22,19,26,11,17,27,15,16,8,17,19,30,21,16,19,24,28,40,28,26,25,20
Colindale,12,21,24,20,23,9,16,13,12,8,21,17,10,12,5,17,11,8,12,14,7,9,8,15,9,16,8,8,14,12,12,14,12,12,10,12,23,18,15,10,8,13,17,14,12,12,2,11,10,10,7,12,21,9,10,18,14,17,10,7,12,10,15,13,12,17,10,15,13,11,9,8,11,12,7,10,9,10,8,13,16,8,13,19,17,15,12,13,7,16,10,8,16,17,18,36,14,12,13,28,15,9,12,13,9,10,10,11,14,29,14,23,15,19,11,19,15,15,17,10,16,18,14,16
Coppetts,20,32,19,17,16,13,9,15,20,11,21,19,20,13,23,21,14,9,13,19,18,6,12,15,14,7,9,11,9,11,6,13,12,17,11,16,10,15,17,14,5,11,14,16,13,19,10,15,15,13,11,17,12,12,7,12,11,12,9,19,11,14,16,7,14,15,11,15,5,10,17,25,11,13,21,11,8,11,2,11,8,13,16,13,13,9,14,14,5,7,5,7,9,13,19,13,10,10,11,8,7,5,6,6,7,10,3,10,8,11,10,7,9,7,8,9,8,9,15,7,4,17,4,10
East Barnet,25,20,21,19,17,14,9,10,6,14,16,17,20,15,15,18,15,10,9,15,20,21,16,17,10,17,14,8,6,11,9,7,6,18,25,12,13,9,12,19,12,12,8,7,8,5,17,9,8,11,6,9,6,10,10,9,13,10,10,17,6,20,17,19,14,9,9,8,12,7,13,14,11,11,17,10,17,10,13,11,6,6,13,11,18,8,9,6,5,5,9,4,4,8,9,12,3,6,2,9,5,11,6,6,5,7,14,8,3,9,3,3,2,7,6,5,2,6,10,5,11,9,5,8
East Finchley,9,12,13,8,12,7,6,16,2,10,24,16,17,11,9,18,15,7,9,9,12,15,9,11,21,14,17,14,6,7,7,7,8,12,14,26,12,18,12,10,14,8,8,6,16,4,6,10,4,5,11,8,7,10,13,6,11,10,9,17,4,7,13,7,13,24,9,9,8,7,21,14,13,4,11,8,6,12,8,9,10,15,3,15,19,8,12,11,1,7,3,5,5,10,14,8,10,10,7,12,10,4,11,13,8,9,10,8,6,9,13,8,4,17,9,7,6,12,4,3,6,5,5,9
Edgware,15,18,15,14,12,13,8,24,12,15,9,11,15,12,13,10,16,10,5,5,11,15,6,17,7,11,8,16,9,12,8,10,7,9,6,15,9,16,14,12,10,6,10,4,13,11,9,25,12,12,13,23,13,7,6,12,17,13,18,17,15,15,14,19,14,11,20,6,11,12,12,22,13,17,6,18,18,8,9,9,10,10,15,15,15,10,22,12,8,8,8,16,16,11,12,17,11,5,7,9,7,8,7,2,3,6,9,10,8,12,10,9,10,5,15,7,7,12,14,8,8,8,9,15
Finchley Church End,7,17,23,22,12,19,5,11,20,11,10,28,28,16,14,16,15,19,7,5,9,15,19,15,13,27,31,20,14,18,10,13,18,17,20,21,25,24,12,11,11,17,15,19,10,12,11,14,13,22,13,20,7,8,11,17,14,12,22,21,11,23,9,9,27,20,13,17,14,13,14,17,15,22,14,9,13,12,12,13,10,20,8,8,8,16,15,13,5,8,7,8,16,16,20,13,14,19,10,23,3,13,12,9,9,9,12,14,11,14,13,9,10,12,6,7,9,8,10,7,15,10,16,18
Garden Suburb,24,14,16,19,13,23,10,14,17,7,27,9,26,11,9,13,22,11,20,25,12,8,15,18,19,31,17,17,23,11,13,19,13,8,14,20,11,40,29,14,17,8,12,11,12,10,11,18,16,14,7,14,17,12,20,19,16,11,23,11,26,16,14,17,12,12,17,18,25,12,15,27,22,17,9,18,18,11,19,25,11,12,7,14,12,14,19,14,7,8,13,8,20,20,27,9,12,4,12,14,8,7,14,7,12,10,12,5,11,13,7,10,9,7,10,17,7,8,13,14,9,14,7,12
Golders Green,24,31,24,29,25,18,23,6,7,17,17,24,17,9,11,26,22,11,17,12,16,16,23,22,20,20,15,22,20,17,8,10,16,15,12,21,19,16,20,12,9,16,9,13,12,10,13,15,14,19,21,21,12,13,13,11,22,10,16,22,26,19,9,15,24,15,9,14,13,15,21,16,18,26,28,11,7,14,35,15,13,16,17,19,12,10,23,17,7,11,7,9,16,18,18,16,12,10,9,21,9,14,10,8,5,8,11,12,11,12,11,8,6,13,9,11,14,11,16,14,10,14,15,17
Hale,16,21,15,20,23,21,4,18,15,11,8,13,19,13,8,15,11,10,7,10,12,12,14,19,19,5,10,5,23,18,8,18,19,10,11,21,18,16,14,7,12,10,8,11,13,9,12,14,12,13,18,13,25,8,8,16,15,9,9,15,11,15,13,14,7,7,12,10,18,14,22,13,20,15,19,26,7,14,9,5,5,11,9,16,17,15,9,14,4,6,2,3,6,6,11,10,7,9,6,12,9,4,4,5,3,10,13,12,10,6,11,21,4,7,4,12,7,5,9,8,11,7,7,4
Hendon,25,21,31,17,23,22,22,15,14,22,22,14,21,17,24,9,16,7,13,16,5,12,15,20,24,20,16,13,15,12,21,17,16,21,24,27,17,19,12,26,7,14,9,11,14,6,16,18,13,23,12,15,14,14,17,16,14,6,9,26,23,15,14,17,10,14,24,9,16,30,24,23,24,13,9,16,23,29,29,22,17,15,16,11,21,17,13,13,9,10,14,13,16,16,15,16,17,12,21,23,19,10,10,9,13,12,14,11,30,17,11,29,17,18,12,11,2,7,22,15,12,13,9,12
